path,size,language,protected
semantic_chunking_policy.py,21267,Python,False
cuestionario_canonico.txt,66953,Text,False
evidence_quality_auditors.py,35190,Python,False
cuestionario.json,840291,JSON,False
policy_processor.py,42120,Python,False
rubric_scoring.json,43413,JSON,False
temp_rest.txt,90655,Text,False
financiero_viabilidad_tablas.py,99111,Python,True
teoria_cambio.py,34644,Python,False
contradiction_deteccion.py,113953,Python,True
emebedding_policy.py,54068,Python,False
dereck_beach,179026,Unknown,False
.idea/vcs.xml,167,Unknown,False
.idea/copilot.data.migration.edit.xml,189,Unknown,False
.idea/FARFAN-3.0.iml,226,Unknown,False
.idea/copilot.data.migration.ask.xml,188,Unknown,False
.idea/misc.xml,383,Unknown,False
.idea/.gitignore,176,Unknown,False
.idea/copilot.data.migration.ask2agent.xml,194,Unknown,False
.idea/copilot.data.migration.agent.xml,190,Unknown,False
.idea/inspectionProfiles/profiles_settings.xml,174,Unknown,False
.idea/inspectionProfiles/Project_Default.xml,2325,Unknown,False
